Comments,sentiment
"You are not the only one that gets sentimental around that time as I said to that year, remember",-0.125
And no u not the only one that get sentimental .. I do to ..missing my son who was killed and dad who died of lever cancer .  So u not the only one mark..,-0.1125
"You are not the only one that gets sentimental around that time as I said to that year, remember",-0.125
And no u not the only one that get sentimental .. I do to ..missing my son who was killed and dad who died of lever cancer .  So u not the only one mark..,-0.1125
"You are not the only one that gets sentimental around that time as I said to that year, remember",-0.125
And no u not the only one that get sentimental .. I do to ..missing my son who was killed and dad who died of lever cancer .  So u not the only one mark..,-0.1125
So touching :-(,-0.125
"I'm so sorry Vin, in the sky's above he ""Paul"" will always be watching over you and your family.",-0.25
So touching :-(,-0.125
"I'm so sorry Vin, in the sky's above he ""Paul"" will always be watching over you and your family.",-0.25
So touching :-(,-0.125
"I'm so sorry Vin, in the sky's above he ""Paul"" will always be watching over you and your family.",-0.25
Violent bald,-0.8
Violent bald,-0.8
Violent bald,-0.8
"Sir.Please help me, I asked everyone for help but no one even answers me, I know you do not know me and I am from another country, but I am helpless My mother is sick and I do not have enough money for treatment. I work myself but it is not enough. I have no one but my mother.I am Afghan. I live in Iran. I have no one but my mother. My father and brother died in AfghanistanPlz sir,i beg you",-0.1444805194805195
"Sir.Please help me, I asked everyone for help but no one even answers me, I know you do not know me and I am from another country, but I am helpless My mother is sick and I do not have enough money for treatment. I work myself but it is not enough. I have no one but my mother.I am Afghan. I live in Iran. I have no one but my mother. My father and brother died in AfghanistanPlz sir,i beg you",-0.1444805194805195
"Sir.Please help me, I asked everyone for help but no one even answers me, I know you do not know me and I am from another country, but I am helpless My mother is sick and I do not have enough money for treatment. I work myself but it is not enough. I have no one but my mother.I am Afghan. I live in Iran. I have no one but my mother. My father and brother died in AfghanistanPlz sir,i beg you",-0.1444805194805195
I saw the bike in drain oregon when you left it down the street mind seeding playing games. You never know a bigger animal may play games with you.,-0.051851851851851864
I saw the bike in drain oregon when you left it down the street mind seeding playing games. You never know a bigger animal may play games with you.,-0.051851851851851864
I saw the bike in drain oregon when you left it down the street mind seeding playing games. You never know a bigger animal may play games with you.,-0.051851851851851864
@kegsyoubeezy @_basedturkey  awkward asf,-0.6
@kegsyoubeezy @_basedturkey  awkward asf,-0.6
@kegsyoubeezy @_basedturkey  awkward asf,-0.6
2020 anyone ?? :((,-0.75
2020 anyone ?? :((,-0.75
2020 anyone ?? :((,-0.75
You should make a movie about your past,-0.25
You should make a movie about your past,-0.25
You should make a movie about your past,-0.25
"What Do you mean @bluguardiano_canecorso to vin's dog? You are a cane corso expert as breeder, can you say Whats right to me and @wildpipm.blakes ... we won't die stupid 😂",-0.27559523809523806
"What Do you mean @bluguardiano_canecorso to vin's dog? You are a cane corso expert as breeder, can you say Whats right to me and @wildpipm.blakes ... we won't die stupid 😂",-0.27559523809523806
"What Do you mean @bluguardiano_canecorso to vin's dog? You are a cane corso expert as breeder, can you say Whats right to me and @wildpipm.blakes ... we won't die stupid 😂",-0.27559523809523806
JA RULE SHOULD COME BACK TO FAST AND FURIOUS BEFORE IT'S TO LATE DOM,-0.033333333333333326
JA RULE SHOULD COME BACK TO FAST AND FURIOUS BEFORE IT'S TO LATE DOM,-0.033333333333333326
JA RULE SHOULD COME BACK TO FAST AND FURIOUS BEFORE IT'S TO LATE DOM,-0.033333333333333326
only one you are missing Paul Walker Williams💪,-0.1
only one you are missing Paul Walker Williams💪,-0.1
only one you are missing Paul Walker Williams💪,-0.1
"their's my bad boy,oh yah",-0.6999999999999998
"their's my bad boy,oh yah",-0.6999999999999998
"their's my bad boy,oh yah",-0.6999999999999998
I will not get tire of staring you at you everyday because you brought my life into smile...❤❤❤,-0.2
I will not get tire of staring you at you everyday because you brought my life into smile...❤❤❤,-0.2
I will not get tire of staring you at you everyday because you brought my life into smile...❤❤❤,-0.2
Sexyy mio amor Grrrr,-0.7
Sexyy mio amor Grrrr,-0.7
Sexyy mio amor Grrrr,-0.7
Sexyy mio amor Grrrr,-0.7
Sexyy mio amor Grrrr,-0.7
Sexyy mio amor Grrrr,-0.7
One legend missing @paulwalker 😢😢,-0.2
One legend missing @paulwalker 😢😢,-0.2
One legend missing @paulwalker 😢😢,-0.2
No you are Groot ! And Chris the ending of volume 3 was terrible. How can you go through all that action then have the last scene eating a bowl of cereal?,-0.3
No you are Groot ! And Chris the ending of volume 3 was terrible. How can you go through all that action then have the last scene eating a bowl of cereal?,-0.3
No you are Groot ! And Chris the ending of volume 3 was terrible. How can you go through all that action then have the last scene eating a bowl of cereal?,-0.3
She is a cocky and arrogant woman w very poor sportsmanship! Poor role model!! 👎🏻 Confident people let their craft do all the talking. And grown women don't call other women bitches. Grow up Ronda!  @vindiesel,-0.22625
She is a cocky and arrogant woman w very poor sportsmanship! Poor role model!! 👎🏻 Confident people let their craft do all the talking. And grown women don't call other women bitches. Grow up Ronda!  @vindiesel,-0.22625
