Comments,sentiment
What a great message you sent back Christmas,0.4
What a great message you sent back Christmas,0.4
What a great message you sent back Christmas,0.4
Sooo sweet,0.35
I'm sure you are a good father🙃❤️,0.6
Sooo sweet,0.35
I'm sure you are a good father🙃❤️,0.6
Sooo sweet,0.35
I'm sure you are a good father🙃❤️,0.6
Muy original tú otras fotos de propagandas acercas de tu películas guardianes de la galaxia que es súper buena.🎬♥️♥️♥️..Muchas bendiciones para ti mi Vin Diesel Lindos ♥️♥️♥️ y también muchas bendiciones para todas tus películas 🎬🙏🏾🎬.,0.375
You’re so cute in this pic😍,0.5
Love two this is move,0.5
Muy original tú otras fotos de propagandas acercas de tu películas guardianes de la galaxia que es súper buena.🎬♥️♥️♥️..Muchas bendiciones para ti mi Vin Diesel Lindos ♥️♥️♥️ y también muchas bendiciones para todas tus películas 🎬🙏🏾🎬.,0.375
You’re so cute in this pic😍,0.5
Love two this is move,0.5
Muy original tú otras fotos de propagandas acercas de tu películas guardianes de la galaxia que es súper buena.🎬♥️♥️♥️..Muchas bendiciones para ti mi Vin Diesel Lindos ♥️♥️♥️ y también muchas bendiciones para todas tus películas 🎬🙏🏾🎬.,0.375
You’re so cute in this pic😍,0.5
Love two this is move,0.5
kraglin finally heard his own heart,0.3
❤️❤️❤️my son loves these I watched first ones with him several times 👏😊🌸❤️all the love much love,0.3125
Loved this movie seen it 8n 3D,0.7
kraglin finally heard his own heart,0.3
❤️❤️❤️my son loves these I watched first ones with him several times 👏😊🌸❤️all the love much love,0.3125
Loved this movie seen it 8n 3D,0.7
kraglin finally heard his own heart,0.3
❤️❤️❤️my son loves these I watched first ones with him several times 👏😊🌸❤️all the love much love,0.3125
Loved this movie seen it 8n 3D,0.7
that is mitt of off road  all of us people just have to make the most of it we r not he for ever,0.5
You are amazing ❤,0.6000000000000001
that is mitt of off road  all of us people just have to make the most of it we r not he for ever,0.5
You are amazing ❤,0.6000000000000001
that is mitt of off road  all of us people just have to make the most of it we r not he for ever,0.5
You are amazing ❤,0.6000000000000001
Fast& Furious:in searching Batman 😂😂😂,0.2
who the old guy <33,0.1
Y love you vin!,0.625
Pretty awesome,0.625
#HappybirthdayVin i love you mu,0.5
"HAPPY BIRTHDAY @vindiesel love you so much, hope someday can see you",0.5
great actors,0.8
it will  be a dream come true to see you in personal . I hope you'll have a taping of furious 8 here in philippines .,0.175
Fast& Furious:in searching Batman 😂😂😂,0.2
who the old guy <33,0.1
